SONY SPORTS TEN 5,812,English,Sports,224.2.2.31,239.11.11.13,1246,10080,FALSE,BUSY,TRUE,Trans05-13014,https://192.168.200.125:12000/msos/master/t11/SONY_SPORTS_TEN_5/SONY_SPORTS_TEN_5.m3u8,,,,,,,,,,stuck with picture
Star utsav,112,Hindi,Entertainment,224.2.2.10,239.11.11.11,1248,10292,,BUSY,TRUE,Trans04-13011,https://192.168.200.125:12000/msos/master/t10/Star_utsav/Star_utsav.m3u8,,,,,,,,,,working
AAMAR CINEMA,6800,Bangla,Movies,224.2.2.2,239.11.11.2,3080,9015,FALSE,DOWN,TRUE,Local Transcoder,https://192.168.200.125:12000/msos/master/t0/AAMAR_CINEMA/AAMAR_CINEMA.m3u8,,,,,,,,,,
TARANG MUSIC,742,Odia,Music,224.2.2.44,239.11.11.13,3008,13032,FALSE,BUSY,TRUE,Trans05-13014,https://192.168.200.125:12000/msos/master/t11/TARANG_MUSIC/TARANG_MUSIC.m3u8,,,,,,,,,,working
VANITHA TV,486,Telugu,News,224.2.2.3,239.11.11.16,3416,15073,FALSE,BUSY,TRUE,Trans07-13022,https://192.168.200.125:12000/msos/master/t13/VANITHA_TV/VANITHA_TV.m3u8,,,,,,,,,,working
Peace of Mind,755,Hindi,Devotional,224.2.2.4,239.11.11.16,3188,15009,FALSE,BUSY,TRUE,Trans01-13012,https://192.168.200.125:12000/msos/master/t8/Peace_of_Mind/Peace_of_Mind.m3u8,,,,,,,,,,working
Star Plus HD,101,Hindi,Entertainment,224.2.2.13,239.11.11.13,1248,10113,FALSE,BUSY,TRUE,Trans05-13014,https://192.168.200.125:12000/msos/master/t11/Star_Plus_HD/Star_Plus_HD.m3u8,,,,,,,,,,
Colors HD,102,Hindi,Entertainment,224.2.2.34,239.11.11.10,5998,10002,TRUE,BUSY,TRUE,Trans02-13010,https://192.168.200.125:12000/msos/master/t9/Colors_HD/Colors_HD.m3u8,,,,,,,,,,
Colors,103,Hindi,Entertainment,224.2.2.22,239.11.11.11,1246,10029,,BUSY,TRUE,Trans04-13011,https://192.168.200.125:12000/msos/master/t10/Colors/Colors.m3u8,,,,,,,,,,
SONY ENTERTAINMENT TELEVISION HD,104,Hindi,Entertainment,224.2.2.32,239.11.11.13,1244,10003,FALSE,BUSY,TRUE,Trans05-13014,https://192.168.200.125:12000/msos/master/t11/SONY_ENTERTAINMENT_TELEVISION_HD/SONY_ENTERTAINMENT_TELEVISION_HD.m3u8,,,,,,,,,,
SONY ENTERTAINMENT TELEVISION,105,Hindi,Entertainment,224.2.2.31,239.11.11.13,1238,10004,FALSE,BUSY,TRUE,Trans05-13014,https://192.168.200.125:12000/msos/master/t11/SONY_ENTERTAINMENT_TELEVISION/SONY_ENTERTAINMENT_TELEVISION.m3u8,,,,,,,,,,
SONY SAB HD,106,Hindi,Entertainment,224.2.2.32,239.11.11.13,1234,10005,FALSE,BUSY,TRUE,Trans05-13014,https://192.168.200.125:12000/msos/master/t11/SONY_SAB_HD/SONY_SAB_HD.m3u8,,,,,,,,,,
SONY SAB,107,Hindi,Entertainment,224.2.2.32,239.11.11.13,1242,10006,FALSE,BUSY,TRUE,Trans05-13014,https://192.168.200.125:12000/msos/master/t11/SONY_SAB/SONY_SAB.m3u8,,,,,,,,,,
Colors Rishtey ,108,Hindi,GEC,224.2.2.34,239.11.11.10,5004,10007,FALSE,BUSY,TRUE,Trans02-13010,https://192.168.200.125:12000/msos/master/t9/Colors_Rishtey/Colors_Rishtey.m3u8,,,,,,,,,,
Star Bharat HD,109,Hindi,Entertainment,224.2.2.13,239.11.11.11,1246,10275,,BUSY,TRUE,Trans04-13011,https://192.168.200.125:12000/msos/master/t10/Star_Bharat_HD/Star_Bharat_HD.m3u8,,,,,,,,,,
Star Bharat,110,Hindi,Entertainment,224.2.2.30,239.11.11.10,1234,10128,FALSE,BUSY,TRUE,Trans02-13010,https://192.168.200.125:12000/msos/master/t9/Star_Bharat/Star_Bharat.m3u8,,,,,,,,,,
SONY PAL,111,Hindi,Entertainment,224.2.2.31,239.11.11.13,1244,10008,FALSE,BUSY,TRUE,Trans05-13014,https://192.168.200.125:12000/msos/master/t11/SONY_PAL/SONY_PAL.m3u8,,,,,,,,,,
Zoom,113,Hindi,Entertainment,224.2.2.41,239.11.11.13,3006,10009,FALSE,BUSY,TRUE,Trans05-13014,https://192.168.200.125:12000/msos/master/t11/Zoom/Zoom.m3u8,,,,,,,,,,
